id,vertex1,vertex2,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,49h,50t,39060,0.13702035799999998,1,5,0.7076791019999998,11,False
2,43h,44t,19564,0.13702035799999998,1,5,0.3477042606,8,False
3,50h,51t,12269,0.011710366000000002,1,2,0.08384769889999999,4,False
4,47h,48t,6709,0.011710366000000002,1,2,0.011710366000000002,2,False
5,65h,66t,27738,0,0,0,0.17539267000000003,5,False
6,48h,49t,31267,0,0,0,0.134238518,5,False
7,20h,21t,46823,0,0,0,0.055678672,3,False
8,87h,88t,62264,0,0,0,0.038409214,3,False
9,45h,47t,33697,0,0,0,0.03037293,3,False
10,33h,34t,4130,0,0,0,0.021275982,2,False
11,1h,3t,40005,0,0,0,0.015957963999999998,2,False
12,90h,91t,10646,0,0,0,0.014184459999999998,2,False
13,56h,57t,46631,0,0,0,0.013372738,2,False
14,86h,87t,2258,0,0,0,0.011248749999999998,2,False
15,55h,56t,4371,0,0,0,0.0045817769999999996,2,False
16,94h,95t,10087,0,0,0,0,1,True
17,80h,81t,2989,0,0,0,0,1,True
18,74h,75t,1817,0,0,0,0,1,True
19,57h,58t,405,0,0,0,0,1,True
20,54h,55t,12550,0,0,0,0,1,True
21,44h,45t,6232,0,0,0,0,1,True
22,36h,37t,1278,0,0,0,0,1,True
23,34h,35t,4801,0,0,0,0,1,True
24,32h,33t,23475,0,0,0,0,1,True
25,30h,31t,7062,0,0,0,0,1,True
26,29h,30t,14236,0,0,0,0,1,True
27,27h,28t,1160,0,0,0,0,0,True
28,26h,27t,3650,0,0,0,0,1,True
29,23h,24t,1532,0,0,0,0,1,True
30,22h,23t,22817,0,0,0,0,1,True
31,12h,13t,3475,0,0,0,0,0,True
32,10t,8h,47802,0,0,0,0,1,True
33,10h,12t,36705,0,0,0,0,0,True
34,102h,104t,18374,0,0,0,0,0,True
35,101h,102t,1720,0,0,0,0,1,True
